Time_ms, Audio_In, Audio_Out, Filter_State
0.335,   1582501,   1526913,          0
0.336,   1654474,  -1513382,          0
0.338,   1725103,  -1498622,          0
0.339,   1794331,  -1482645,          0
0.341,   1862103,  -1465464,          0
0.342,   1928362,  -1447093,          0
0.343,   1993056,  -1427548,          0
0.345,   2056132,  -1406843,          0
0.346,   2117539,  -1384996,          0
0.348,   2177226,  -1362025,          0
0.349,   2235145,  -1337947,          0
0.350,   2291250,  -1312784,          0
0.352,   2345494,  -1286554,          0
0.353,   2397834,  -1259280,          0
0.355,   2448227,  -1230984,          0
0.356,   2496632,  -1201688,          0
0.357,   2543011,  -1171416,          0
0.359,   2587324,  -1140194,          0
0.360,   2629537,  -1108045,          0
0.361,   2669615,  -1074997,          0
0.363,   2707525,  -1041076,          0
0.364,   2743237,  -1006310,          0
0.366,   2776722,   -970727,          0
0.367,   2807952,   -934356,          0
0.368,   2836903,   -897226,          0
0.370,   2863550,   -859367,          0
0.371,   2887872,   -820811,          0
0.373,   2909850,   -781588,          0
0.374,   2929465,   -741731,          0
0.375,   2946701,   -701272,          0
0.377,   2961545,   -660243,          0
0.378,   2973984,   -618678,          0
0.380,   2984009,   -576611,          0
0.381,   2991611,   -534075,          0
0.382,   2996784,   -491107,          0
0.384,   2999524,   -447739,          0
0.385,   2999828,   -404008,          0
0.387,   2997697,   -359948,          0
0.388,   2993132,   -315597,          0
0.389,   2986137,   -270989,          0
0.391,   2976717,   -226161,          0
0.392,   2964881,   -181150,          0
0.393,   2950637,   -135991,          0
0.395,   2933997,    -90722,          0
0.396,   2914976,    -45380,          0
0.398,   2893587,        -1,          0
0.399,   2869849,     45379,          0
0.400,   2843782,     90721,          0
0.402,   2815405,    135990,          0
0.403,   2784742,    181149,          0
0.405,   2751818,    226160,          0
0.406,   2716661,    270988,          0
0.407,   2679297,    315596,          0
0.409,   2639758,    359947,          0
0.410,   2598076,    404007,          0
0.412,   2554284,    447738,          0
0.413,   2508418,    491106,          0
0.414,   2460516,    534074,          0
0.416,   2410616,    576610,          0
0.417,   2358759,    618677,          0
0.418,   2304987,    660242,          0
0.420,   2249343,    701271,          0
0.421,   2191873,    741730,          0
0.423,   2132623,    781587,          0
0.424,   2071642,    820810,          0
0.425,   2008979,    859366,          0
0.427,   1944685,    897225,          0
0.428,   1878811,    934355,          0
0.430,   1811413,    970726,          0
0.431,   1742543,   1006309,          0
0.432,   1672259,   1041075,          0
0.434,   1600617,   1074996,          0
0.435,   1527676,   1108044,          0
0.437,   1453494,   1140193,          0
0.438,   1378132,   1171415,          0
0.439,   1301651,   1201687,          0
0.441,   1224113,   1230983,          0
0.442,   1145581,   1259279,          0
0.444,   1066120,   1286553,          0
0.445,    985792,   1312783,          0
0.446,    904664,   1337946,          0
0.448,    822802,   1362024,          0
0.449,    740272,   1384995,          0
0.450,    657140,   1406842,          0
0.452,    573475,   1427547,          0
0.453,    489345,   1447092,          0
0.455,    404817,   1465463,          0
0.456,    319960,   1482644,          0
0.457,    234844,   1498621,          0
0.459,    149537,   1513381,          0
0.460,     64109,   1526913,          0
0.462,    -21371,   1539205,          0
0.463,   -106834,   1550247,          0
0.464,   -192210,   1560030,          0
0.466,   -277430,   1568547,          0
0.467,   -362425,   1575790,          0
0.469,   -447126,   1581754,          0
0.470,   -531464,   1586434,          0
0.471,   -615370,   1589825,          0
0.473,   -698777,   1591926,          0
0.474,   -781616,   1592734,          0
0.475,   -863821,   1592249,          0
0.477,   -945324,   1590471,          0
0.478,  -1026060,   1587402,          0
0.480,  -1105963,   1583045,          0
0.481,  -1184967,   1577401,          0
0.482,  -1263010,   1570477,          0
0.484,  -1340027,   1562278,          0
0.485,  -1415956,   1552811,          0
0.487,  -1490736,   1542083,          0
0.488,  -1564305,   1530102,          0
0.489,  -1636604,   1516880,          0
0.491,  -1707574,   1502426,          0
0.492,  -1777158,   1486751,          0
0.494,  -1845299,   1469870,          0
0.495,  -1911942,   1451796,          0
0.496,  -1977032,   1432542,          0
0.498,  -2040518,   1412126,          0
0.499,  -2102346,   1390563,          0
0.500,  -2162468,   1367871,          0
0.502,  -2220833,   1344068,    2000000
0.503,  -2277396,  -1319176,    2000000
0.505,  -2332110,  -1293211,    2000000
0.506,  -2384930,  -1266196,    2000000
0.507,  -2435813,  -1238153,    2000000
0.509,  -2484720,  -1209104,    2000000
0.510,  -2531608,  -1179074,    2000000
0.512,  -2576441,  -1148087,    2000000
0.513,  -2619183,  -1116168,    2000000
0.514,  -2659797,  -1083342,    2000000
0.516,  -2698253,  -1049637,    2000000
0.517,  -2734517,  -1015079,    2000000
0.519,  -2768561,   -979698,    2000000
0.520,  -2800358,   -943521,    2000000
0.521,  -2829880,   -906578,    2000000
0.523,  -2857105,   -868898,    2000000
0.524,  -2882011,   -830514,    2000000
0.526,  -2904576,   -791455,    2000000
0.527,  -2924783,   -751753,    2000000
0.528,  -2942616,   -711441,    2000000
0.530,  -2958059,   -670552,    2000000
0.531,  -2971100,   -629118,    2000000
0.532,  -2981730,   -587173,    2000000
0.534,  -2989938,   -544751,    2000000
0.535,  -2995719,   -501888,    2000000
0.537,  -2999067,   -458616,    2000000
0.538,  -2999980,   -414973,    2000000
0.539,  -2998458,   -370992,    2000000
0.541,  -2994501,   -326710,    2000000
0.542,  -2988113,   -282163,    2000000
0.544,  -2979299,   -237387,    2000000
0.545,  -2968066,   -192418,    2000000
0.546,  -2954423,   -147293,    2000000
0.548,  -2938381,   -102048,    2000000
0.549,  -2919953,    -56720,    2000000
0.551,  -2899155,    -11347,    2000000
0.552,  -2876003,     34036,    2000000
0.553,  -2850516,     79391,    2000000
0.555,  -2822714,    124682,    2000000
0.556,  -2792621,    169872,    2000000
0.557,  -2760260,    214923,    2000000
0.559,  -2725658,    259800,    2000000
0.560,  -2688843,    304466,    2000000
0.562,  -2649845,    348885,    2000000
0.563,  -2608695,    393021,    2000000
0.564,  -2565428,    436838,    2000000
0.566,  -2520077,    480300,    2000000
0.567,  -2472681,    523371,    2000000
0.569,  -2423276,    566019,    2000000
0.570,  -2371905,    608206,    2000000
0.571,  -2318607,    649900,    2000000
0.573,  -2263427,    691066,    2000000
0.574,  -2206409,    731670,    2000000
0.576,  -2147600,    771681,    2000000
0.577,  -2087047,    811066,    2000000
0.578,  -2024800,    849791,    2000000
0.580,  -1960908,    887827,    2000000
0.581,  -1895425,    925142,    2000000
0.583,  -1828402,    961706,    2000000
0.584,  -1759896,    997489,    2000000
0.585,  -1689960,   1032462,    2000000
0.587,  -1618652,   1066597,    2000000
0.588,  -1546030,   1099866,    2000000
0.589,  -1472152,   1132241,    2000000
0.591,  -1397080,   1163698,    2000000
0.592,  -1320873,   1194210,    2000000
0.594,  -1243593,   1223752,    2000000
0.595,  -1165304,   1252300,    2000000
0.596,  -1086069,   1279832,    2000000
0.598,  -1005952,   1306325,    2000000
0.599,   -925018,   1331757,    2000000
0.601,   -843333,   1356107,    2000000
0.602,   -760963,   1379357,    2000000
0.603,   -677976,   1401487,    2000000
0.605,   -594438,   1422479,    2000000
0.606,   -510417,   1442315,    2000000
0.608,   -425982,   1460981,    2000000
0.609,   -341202,   1478461,    2000000
0.610,   -256144,   1494740,    2000000
0.612,   -170878,   1509806,    2000000
0.613,    -85473,   1523646,    2000000
0.614,         0,   1536248,    2000000
0.616,     85473,   1547604,    2000000
0.617,    170878,   1557703,    2000000
0.619,    256144,   1566537,    2000000
0.620,    341202,   1574099,    2000000
0.621,    425982,   1580383,    2000000
0.623,    510417,   1585384,    2000000
0.624,    594438,   1589098,    2000000
0.626,    677976,   1591522,    2000000
0.627,    760963,   1592653,    2000000
0.628,    843333,   1592492,    2000000
0.630,    925018,   1591037,    2000000
0.631,   1005951,   1588291,    2000000
0.633,   1086069,   1584255,    2000000
0.634,   1165304,   1578932,    2000000
0.635,   1243593,   1572328,    2000000
0.637,   1320872,   1564447,    2000000
0.638,   1397079,   1555296,    2000000
0.639,   1472152,   1544882,    2000000
0.641,   1546030,   1533214,    2000000
0.642,   1618652,   1520301,    2000000
0.644,   1689960,   1506154,    2000000
0.645,   1759895,   1490784,    2000000
0.646,   1828402,   1474203,    2000000
0.648,   1895425,   1456425,    2000000
0.649,   1960908,   1437465,    2000000
0.651,   2024800,   1417338,    2000000
0.652,   2087047,   1396060,    2000000
0.653,   2147600,   1373649,    2000000
0.655,   2206409,   1350122,    2000000
0.656,   2263427,   1325499,    2000000
0.658,   2318607,   1299800,    2000000
0.659,   2371905,   1273046,    2000000
0.660,   2423276,   1245258,    2000000
0.662,   2472681,   1216458,    2000000
0.663,   2520077,   1186672,    2000000
0.665,   2565428,   1155921,    2000000
0.666,   2608695,   1124233,    2000000
0.667,   2649845,   1091631,    2000000
0.669,   2688843,   1058143,          0
0.670,   2725658,  -1023797,          0
0.671,   2760260,   -988619,          0
0.673,   2792621,   -952638,          0
0.674,   2822714,   -915884,          0
0.676,   2850516,   -878386,          0
0.677,   2876003,   -840174,          0
0.678,   2899155,   -801281,          0
0.680,   2919953,   -761737,          0
0.681,   2938381,   -721575,          0
0.683,   2954423,   -680826,          0
0.684,   2968066,   -639525,          0
0.685,   2979299,   -597705,          0
0.687,   2988113,   -555400,          0
0.688,   2994501,   -512643,          0
0.690,   2998458,   -469470,          0
0.691,   2999980,   -425916,          0
0.692,   2999067,   -382017,          0
0.694,   2995719,   -337807,          0
0.695,   2989938,   -293323,          0
0.696,   2981730,   -248600,          0
0.698,   2971100,   -203676,          0
0.699,   2958059,   -158587,          0
0.701,   2942616,   -113368,          0
0.702,   2924783,    -68058,          0
0.703,   2904576,    -22693,          0
0.705,   2882011,     22691,          0
0.706,   2857105,     68057,          0
0.708,   2829880,    113367,          0
0.709,   2800358,    158586,          0
0.710,   2768561,    203675,          0
0.712,   2734517,    248599,          0
0.713,   2698253,    293322,          0
0.715,   2659797,    337806,          0
0.716,   2619183,    382016,          0
0.717,   2576441,    425915,          0
0.719,   2531608,    469469,          0
0.720,   2484720,    512642,          0
